i,mean,sd,q05,q50,q95,neff,rhat
274,0.165041,0.851802,-1.50164,0.809968,0.810157,1.41755,1.66889
275,-1.31455,1.41903,-2.5408,-2.54028,1.17985,1.19115,2.21886
276,-0.253203,0.917256,-0.947603,-0.858791,1.65403,1.72057,1.42164
277,0.401311,0.628173,-0.832923,0.603502,1.21193,7.55957,1.07086
278,0.868109,0.679547,-0.527491,1.10844,1.84389,5.33447,1.0899
279,-0.24782,0.715435,-1.18308,-0.494748,1.17635,5.92725,1.08362
280,-0.711778,0.994997,-1.47483,-1.47443,1.15331,1.38855,1.70425
281,-0.753624,1.21467,-1.81367,-1.81346,1.35207,1.17793,2.29269
282,-0.503221,0.54674,-1.38478,-0.562072,0.497743,960.344,1.00893
283,0.258268,0.689106,-0.525468,-0.0660818,1.68661,3.06294,1.17107
284,-0.465018,0.967064,-1.23125,-1.2311,1.34167,1.32822,1.7998
285,0.620076,0.771454,-1.02183,0.973756,1.46676,3.21494,1.16048
286,0.773272,0.720406,-0.613192,1.23092,1.23163,1.88252,1.37793
287,-0.257358,0.810099,-1.89428,0.274028,0.274363,1.75463,1.41402
288,0.296564,0.712337,-1.28056,0.508287,1.39349,8.29584,1.06276
289,0.367104,0.618547,-0.543145,0.250397,1.55963,152.846,1.02113
290,0.588431,1.0638,-1.55145,1.32115,1.3218,1.61157,1.48108
291,0.183313,0.629656,-1.05116,0.340206,1.12983,12.9083,1.04066
292,0.243511,0.712275,-0.683737,0.00996164,1.67492,6.2114,1.07407
293,0.459724,0.569591,-0.673723,0.618607,1.26135,10.3002,1.05233
294,-0.086281,0.799142,-0.896219,-0.473524,1.55715,2.94338,1.18509
295,0.274197,0.595419,-0.915688,0.48372,1.06689,5.99042,1.08723
296,0.240627,0.580562,-0.527759,0.0499929,1.42432,6.86346,1.07614
297,-0.462176,1.12649,-1.3912,-1.3905,1.63943,1.26077,1.95317
298,0.44826,0.906948,-1.34329,1.14119,1.14151,1.39398,1.70722
299,0.275769,0.588331,-0.690918,0.202923,1.37986,764.027,1.00728
300,-0.0611117,0.705134,-0.847711,-0.431833,1.49029,2.48871,1.22607
301,0.0657481,0.732875,-0.43343,-0.432862,1.4986,1.63404,1.46285
302,0.479289,0.733923,-1.16628,0.800943,1.37782,3.51251,1.1452
303,0.155058,1.08615,-1.78759,1.04788,1.04807,1.26806,1.94322
304,0.538197,0.837612,-1.31701,0.935637,1.5523,3.0823,1.17517
305,-1.26885,1.33589,-2.45573,-2.37114,1.02616,1.15376,2.44969
306,1.32084,0.695764,-0.156888,1.72786,1.93927,2.10224,1.29788
307,-0.787074,1.04567,-1.71968,-1.39917,1.2688,2.13097,1.30163
308,0.292351,0.57016,-0.908662,0.460316,1.1026,9.55586,1.06099
309,-0.488184,0.928637,-1.23108,-1.08597,1.47359,1.76694,1.39047
310,-0.331759,0.663789,-1.43387,-0.445646,1.00068,478.999,1.0168
311,-0.269431,0.642909,-1.43929,-0.319954,1.07096,735.388,1.00157
312,-0.204434,0.780981,-1.19812,-0.51624,1.36084,5.05023,1.11602
313,-0.562533,0.919473,-1.27979,-1.18747,1.26126,1.65346,1.46109
314,-1.06702,0.831793,-1.84885,-1.52908,0.751407,2.31774,1.25945
315,-0.63718,0.788199,-1.37568,-1.0967,0.797905,2.12359,1.29517
316,0.911776,1.10199,-1.20403,1.78107,1.78133,1.34622,1.78617
317,-1.14165,1.11235,-1.9839,-1.98328,1.05619,1.41305,1.66679
318,1.52484,1.63104,-1.0429,3.03831,3.03872,1.09698,3.05128
319,-0.150333,0.702007,-1.53176,0.10026,0.76318,5.09769,1.08957
320,0.50065,0.662494,-0.46999,0.337434,1.89287,14.0683,1.04011
321,0.17331,0.912808,-1.65851,0.573664,1.16101,3.53803,1.1451
322,-0.0571923,0.646268,-0.860531,-0.355314,1.27185,3.20644,1.1749
323,0.169634,0.778736,-1.40211,0.62935,0.973397,2.05456,1.30621
324,0.129328,0.813545,-1.52309,0.565876,0.870476,2.41491,1.23708
325,0.51983,0.841013,-1.19695,1.12021,1.1208,1.53796,1.54294
326,-0.577619,0.74861,-1.34791,-0.944162,0.955171,2.92268,1.18895
327,-0.0963705,0.7371,-0.682247,-0.508481,1.43534,2.26986,1.26514
328,0.248116,0.620497,-0.987799,0.453876,1.05117,6.8086,1.07623
329,0.207311,1.18581,-1.87239,1.22634,1.22658,1.19983,2.18165
330,-0.0719796,0.802621,-1.65332,0.418046,0.654707,1.97323,1.33621
331,-0.217146,0.755429,-1.32509,-0.446982,1.35785,7.99627,1.06498
332,0.278061,0.69148,-1.11408,0.432189,1.40607,43.9549,1.03262
333,0.139647,1.27115,-1.8803,1.30936,1.30974,1.10401,2.90374
334,-0.195367,0.661425,-1.30665,-0.254986,1.07078,1537.52,1.00213
335,-0.126541,0.671576,-1.43914,-0.0189327,0.928206,584.473,1.01464
336,0.0381437,0.919564,-1.81854,0.522255,0.985915,2.51278,1.22639
337,-0.531817,1.07134,-1.3997,-1.3995,1.47013,1.28904,1.88051
338,-0.204095,1.00418,-0.956518,-0.956316,1.72047,1.42441,1.64162
339,-0.266741,1.01493,-1.07912,-1.0789,1.65998,1.31035,1.83393
340,0.126404,0.885694,-1.66862,0.728262,0.728452,1.64672,1.46196
341,-0.0922588,0.827887,-1.78582,0.236724,1.03861,4.16732,1.11531
342,0.297163,0.642583,-0.740171,0.192258,1.53187,91.5096,1.0161
343,0.316268,0.659088,-0.960871,0.543902,1.17089,6.01987,1.08433
344,-1.18573,0.671799,-2.21949,-1.32557,0.0647221,27.1125,1.0271
345,0.624234,0.616434,-0.71017,0.932615,1.28941,2.73567,1.19873
346,0.0494954,0.629525,-0.875402,-0.100208,1.25827,20.7307,1.03609
347,-0.624051,1.04824,-1.44261,-1.44232,1.48587,1.35871,1.75247
348,0.589356,0.820874,-1.11356,1.11494,1.22194,1.80035,1.3847
349,0.217791,0.975022,-1.60455,1.04196,1.04226,1.22708,2.0897
350,-0.257754,0.979193,-1.01388,-1.01359,1.52067,1.37617,1.71955
351,0.954302,1.10256,-1.24311,1.73474,1.73506,1.54754,1.52583
352,0.185776,0.867121,-1.59555,0.678425,0.9591,2.21228,1.27541
353,1.11336,0.953792,-0.85744,1.85397,1.8543,1.36454,1.7368
354,0.406701,0.747973,-1.19249,0.695384,1.42322,4.62796,1.10727
355,0.0859304,0.808911,-1.61275,0.471933,1.02687,3.02302,1.17699
