gamma_base,alpha,beta_time,mu_log_time,sigma_log_time
0.303869,0.860008,0.918146,5.91347,1.02717
0.304609,0.868755,0.858152,5.94081,1.02495
0.297227,0.870818,0.852269,5.92455,1.02582
0.283417,0.864539,0.832331,5.91826,1.02431
0.288345,0.868313,0.790904,5.91931,1.02971
0.299733,0.875061,1.00552,5.91509,1.03729
0.295999,0.867907,0.895305,5.8853,1.03269
0.294624,0.883928,0.811835,5.9211,1.03606
0.292666,0.871051,0.877027,5.93465,1.03207
0.29493,0.879888,0.760086,5.90869,1.02357
0.294045,0.869043,0.881728,5.93442,1.03648
0.299148,0.890247,0.763176,5.9075,1.02706
0.316181,0.878693,0.90988,5.91228,1.02648
0.308266,0.858319,0.93226,5.91827,1.03075
0.296856,0.882187,0.89048,5.91428,1.01936
0.291812,0.891693,0.898766,5.93604,1.03674
0.295056,0.877719,0.92454,5.93091,1.03684
0.291154,0.869184,1.00094,5.90645,1.03322
0.302436,0.892965,0.770506,5.93064,1.0273
0.281117,0.875785,0.777948,5.92604,1.0244
0.302752,0.886799,0.833076,5.91853,1.03213
0.307657,0.90033,0.891703,5.90972,1.04075
0.29527,0.897633,0.848403,5.90751,1.03804
0.293114,0.889874,0.872338,5.92769,1.03816
0.280092,0.866332,0.849547,5.92541,1.03591
0.302785,0.87697,0.9392,5.92107,1.03982
0.284702,0.87766,0.81807,5.89964,1.03537
0.294186,0.871872,0.946947,5.92049,1.0275
0.292941,0.883173,0.84388,5.90262,1.03702
0.302282,0.889183,0.756346,5.91711,1.03358
0.294398,0.889783,1.1258,5.91455,1.03629
0.290951,0.866429,0.993316,5.92783,1.02804
0.282192,0.892568,0.805766,5.92188,1.04039
0.307586,0.859604,0.793564,5.90251,1.0312
0.296792,0.875307,0.830083,5.90208,1.03956
0.284814,0.879837,0.839257,5.90346,1.04841
0.301223,0.89131,0.691055,5.92166,1.02723
0.276488,0.888023,0.766779,5.91397,1.04776
0.29796,0.889653,0.788002,5.9132,1.03374
0.287618,0.884195,0.893535,5.93565,1.03788
0.286365,0.869214,0.784366,5.91743,1.02987
0.309408,0.894986,0.927588,5.928,1.03791
0.288601,0.856146,0.932148,5.91656,1.04017
0.30216,0.880639,0.953726,5.9236,1.0386
0.292755,0.875593,0.838574,5.93314,1.03288
0.28699,0.870103,0.906712,5.9208,1.02952
0.294037,0.899248,0.926104,5.9155,1.04018
0.294626,0.874987,0.846429,5.90976,1.03758
0.306112,0.872425,0.966664,5.90589,1.0361
0.28693,0.880559,0.851636,5.9342,1.02719
0.293589,0.864646,0.846145,5.91908,1.03394
0.297067,0.880421,0.864202,5.91102,1.03023
0.302303,0.874244,0.816675,5.92038,1.03196
0.295223,0.887732,0.940732,5.92638,1.02711
0.301347,0.878673,0.997332,5.92197,1.02878
0.288907,0.882429,0.878817,5.91635,1.03675
0.292664,0.886838,0.907765,5.92352,1.02263
0.302196,0.884827,0.961938,5.91211,1.02744
0.297228,0.888077,0.911759,5.90233,1.03162
0.297363,0.887798,0.867121,5.92315,1.03341
0.284869,0.860981,0.878886,5.91613,1.03317
0.295381,0.87484,0.799347,5.92145,1.04161
0.290244,0.887932,0.831145,5.92047,1.02274
0.291932,0.891841,0.891238,5.91631,1.03313
0.295134,0.898416,0.838961,5.9262,1.02723
0.294817,0.89732,0.846484,5.93051,1.04285
0.285411,0.879459,0.96456,5.91758,1.02898
0.287717,0.875298,0.831599,5.91321,1.03738
0.284432,0.893596,0.987711,5.9166,1.02387
0.28262,0.884092,0.996233,5.91055,1.03097
0.292997,0.888634,0.803704,5.90835,1.02668
0.299111,0.888774,0.822698,5.90938,1.02795
